MAC	b37	b38
1883	0	0
1884	3	2
1885	3	4
1886	3	4
1887	3	1
1888	2	2
1889	1	1
1890	0	1
1891	1	1
1892	2	4
1893	4	6
1894	0	2
1895	1	0
1896	2	3
1897	0	2
1898	0	2
1899	2	2
1900	0	4
1901	7	4
1902	2	0
1903	0	3
1904	2	2
1905	0	0
1906	2	4
1907	2	0
1908	4	4
1909	1	3
1910	0	2
1911	4	2
1912	0	0
1913	0	1
1914	0	0
1915	1	1
1916	2	0
1917	1	0
1918	1	1
1919	0	2
1920	1	1
1921	1	1
1922	2	4
1923	1	3
1924	2	2
1925	2	2
1926	0	1
1927	1	2
1928	0	2
1929	1	1
1930	1	1
1931	1	0
1932	2	1
1933	3	1
1934	2	2
1935	2	0
1936	2	4
1937	3	0
1938	1	3
1939	0	1
1940	1	4
1941	3	3
1942	3	2
1943	4	2
1944	0	3
1945	0	1
1946	2	1
1947	0	0
1948	3	2
1949	7	7
1950	3	4
1951	3	1
1952	2	4
1953	3	4
1954	1	3
1955	6	8
1956	5	3
1957	4	4
1958	3	2
1959	1	3
1960	4	4
1961	2	0
1962	1	3
1963	1	1
1964	1	0
1965	0	2
1966	0	1
1967	4	0
1968	1	1
1969	1	2
1970	0	2
1971	1	1
1972	3	0
1973	1	1
1974	6	4
1975	3	2
1976	6	4
1977	1	4
1978	2	1
1979	4	6
1980	2	4
1981	1	4
1982	1	0
1983	2	1
1984	0	1
1985	0	0
1986	0	2
1987	0	2
1988	6	5
1989	5	3
1990	0	1
1991	2	2
1992	1	3
1993	0	0
1994	1	2
1995	0	2
1996	1	1
1997	0	0
1998	0	1
1999	2	3
2000	0	1
2001	0	0
2002	1	1
2003	1	3
2004	1	0
2005	1	3
2006	0	2
2007	2	1
2008	1	1
2009	1	1
2010	0	0
2011	1	1
2012	0	0
2013	0	0
2014	0	0
2015	1	0
2016	0	0
2017	0	2
2018	0	0
2019	1	1
2020	0	0
2021	0	3
2022	1	1
2023	3	1
2024	0	2
2025	2	0
2026	2	0
2027	0	1
2028	1	3
2029	0	2
2030	2	1
2031	1	2
2032	1	0
2033	1	3
2034	1	0
2035	0	0
2036	1	1
2037	1	3
2038	1	2
2039	2	0
2040	0	1
2041	2	0
2042	0	1
2043	1	2
2044	0	1
2045	0	1
2046	2	2
2047	1	2
2048	1	0
2049	1	1
2050	2	0
2051	1	2
2052	1	1
2053	1	1
2054	1	1
2055	0	0
2056	1	1
2057	1	4
2058	3	2
2059	1	1
2060	1	4
2061	4	2
2062	1	1
2063	2	0
2064	2	2
2065	2	2
2066	1	2
2067	4	3
2068	0	3
2069	1	1
2070	1	0
2071	0	1
2072	1	2
2073	0	1
2074	4	2
2075	1	0
2076	1	2
2077	3	1
2078	2	4
2079	0	2
2080	4	2
2081	5	4
2082	3	2
2083	5	4
2084	11	13
2085	2	4
2086	2	4
2087	15	10
2088	2	4
2089	3	4
2090	0	4
2091	7	7
2092	6	5
2093	3	7
2094	4	3
2095	6	5
2096	3	0
2097	3	5
2098	0	0
2099	2	3
2100	1	1
2101	2	3
2102	2	1
2103	0	2
2104	0	1
2105	1	0
2106	1	1
2107	1	1
2108	4	4
2109	2	3
2110	1	1
2111	1	1
2112	3	1
2113	0	1
2114	0	1
2115	1	1
2116	1	1
2117	1	3
2118	5	2
2119	1	1
2120	2	2
2121	2	4
2122	1	1
2123	1	1
2124	1	0
2125	0	0
2126	0	1
2127	0	0
2128	0	2
2129	1	2
2130	5	1
2131	2	0
2132	1	4
2133	3	2
